Nomor,Operasi,Volume,Jumlah_Client_Worker_Pool,Jumlah_Server_Worker_Pool,Waktu_Total_Per_Client,Throughput_Per_Client,Client_Worker_Sukses,Client_Worker_Gagal,Server_Worker_Sukses,Server_Worker_Gagal,Execution_Mode,Server_Type,Throughput_Bytes_Per_Second,Throughput_MB_Per_Second,Success_Rate,Error_Message,Total_Time
1,download,10,1,1,0.0034492015838623047,1356342.739419525,1,0,1,0,thread,thread,1356342.739419525,1.293509234828496,1.0,,0.004518032073974609
2,upload,10,1,1,0.07240557670593262,142586781.88161987,1,0,1,0,thread,thread,142586781.88161987,135.9813517395209,1.0,,0.07353949546813965
3,download,10,1,5,0.016984224319458008,342428.65590194514,1,0,1,0,thread,thread,342428.65590194514,0.32656541433519853,1.0,,0.01789569854736328
4,upload,10,1,5,0.08043122291564941,129351265.59092727,1,0,1,0,thread,thread,129351265.59092727,123.35897978871085,1.0,,0.08106422424316406
5,download,10,5,1,0.012151575088500977,1282070.5968734724,5,0,5,0,thread,thread,1282070.5968734724,1.2226778000578618,1.0,,0.023898839950561523
6,upload,10,5,1,0.1411128044128418,225481180.9338657,5,0,5,0,thread,thread,225481180.9338657,215.03561108957834,1.0,,0.23251962661743164
7,download,10,5,5,0.008773517608642579,1584571.1571705115,5,0,5,0,thread,thread,1584571.1571705115,1.5111648151116481,1.0,,0.019336462020874023
8,upload,10,5,5,0.13743124008178711,234707185.39558256,5,0,5,0,thread,thread,234707185.39558256,223.83421458776718,1.0,,0.22337961196899414
9,download,10,5,10,0.0065441131591796875,3679698.6273443094,5,0,5,0,thread,thread,3679698.6273443094,3.5092340730136007,1.0,,0.00832676887512207
10,upload,10,5,10,0.15389647483825683,205812408.0968871,5,0,5,0,thread,thread,205812408.0968871,196.27800759972297,1.0,,0.25474071502685547
11,download,10,10,5,0.008246088027954101,2543687.9521005494,10,0,10,0,thread,thread,2543687.9521005494,2.4258498688703054,1.0,,0.024091005325317383
12,upload,10,10,5,0.1788841724395752,239299200.8810122,10,0,10,0,thread,thread,239299200.8810122,228.2135018167612,1.0,,0.4381861686706543
13,download,10,20,10,0.0,0.0,0,20,0,20,thread,thread,0.0,0.0,0.0,,4.062197208404541
14,upload,10,20,10,0.22518362718469956,5210812.346276738,17,3,17,3,thread,thread,5210812.346276738,4.9694179022567155,0.85,,34.209238052368164
15,download,10,50,20,0.0,0.0,0,50,0,50,thread,thread,0.0,0.0,0.0,,11.839417695999146
16,upload,10,50,20,0.21387618117862278,2481389.258616067,18,32,18,32,thread,thread,2481389.258616067,2.366437204948489,0.36,,76.06371283531189
17,download,50,1,1,0.016948223114013672,349782.19035954383,1,0,1,0,thread,thread,349782.19035954383,0.3335782912822188,1.0,,0.017519474029541016
18,upload,50,1,1,0.2305595874786377,226350834.4786626,1,0,1,0,thread,thread,226350834.4786626,215.8649773394228,1.0,,0.23162627220153809
19,download,50,1,5,0.0028738975524902344,1730588.1303528144,1,0,1,0,thread,thread,1730588.1303528144,1.6504174521949906,1.0,,0.0035409927368164062
20,upload,50,1,5,0.2155778408050537,241792262.68016028,1,0,1,0,thread,thread,241792262.68016028,230.5910708238223,1.0,,0.21683406829833984
21,download,50,5,1,0.007545328140258789,3146986.178220731,5,0,5,0,thread,thread,3146986.178220731,3.001199892254573,1.0,,0.009736299514770508
